0,1,2,3,4,5
코로나 초기증상이 일주일넘게  ,동거가족이 일주일 전에 코로나 확진되었었고 저는 확진자가 확진받은 그 날부터 분명 목이 살짝 아팠거든요   그래서 아 초기증상인가보다 했는데 동거가족이 격리 풀린 지금까지 계속 같은 증상이에요   원래 초기증상이 이렇게 오래 가나요  아니면 지금 제가 걸린건데 증상이 약해서 모르는건가요   ,가정의학과,코로나 걸렸는데용,저희 가족이 전부 다 걸렸는데 그럼 가족끼리도 다 붙어 있어도 되나요  그 사람이 썻던 물건도 만져도 되나요  만약 한 명이 완치를 하면 다시 재감염이 될 수도 있나용 ,가정의학과
코로나 증상,목에 뭐가 낀것같구   콧물도 나오고  열도 뜨끈뜨끈하구여 저 빼고 가족이 다 걸렸어여  목이 너무 불편한데 신속항원검사랑 자가키트는 음성이 나왔어요 어떻게해야하져   학교 가는게 맞는거죠  너무 많이 빠져서   ,가정의학과,오래 앉아있을때 다리 저림,의자에서는 거의 안그런데 화장실에 좀 오래 앉아있다보면   분 이상  한쪽다리에만 쥐가 심하게 납니다 발이 제일 저리고 종아리까지 느낌이 무뎌져요 차가워지고요   혈액순환에 문제가 있는건가요  골반이 틀어져서 그럴까요   병원을 가봐야하는지 모르겠습니다 ,가정의학과
코로나 목 부음, 일전에 코로나 확진을 받았습니다 약도 잘 챙겨 먹었는데 목 부음이 도대체 낫지 않네요   목이 너무 심하게 부어서 침을 삼킬때도 너무 고통스럽고 밥도 못먹습니다 목 부음 심할때 어떻게 해야되나요  해결책이 없을까요  약도 안듣는것 같아서 그래요   살려주세요 내공    걸어요   ,가정의학과,코로나 메스꺼움,제가 코로나에 걸렸는데 증상보니까 메스꺼움 구토 증세가 있던데요 제가 토하는걸 굉장히 싫어하는데 메스까움이 발생하는 이유가 두통이나 인후통 때문인가요   ,가정의학과
배우자 확진 코로나 잠복기,배우자가 저번주 금요일 코로나 확진되었습니다  그래서 금요일에 병원에 방문하여 코로나 검사 받았는데 음성 나왔구요 토요일에도 방문하여 검사했는데 음성나왔습니다  월요일에 병원 방문하여 코로나 검사했는데 음성 나왔구요  오늘 화요일 병원 방문하여 코로나 검사하였는데 양성나왔습니다      이렇게 잠복기간이 긴 경우가 흔한가요  억울하네요     회사에서는 금요일부터 나오지 말라해서 출근 못하고 있었는데요  오늘 감염 확진받아서  일을 더 쉬라고 합니다   제가 하는 일이 거의 반 프리랜서  이런 개념이라 일을 쉬면 급여가 주는데요     마누라 땜에 나오지 말라고 하는 것도 월급이 줄어서 화가 많이 낫는데  확진이라  일을 더 쉬라고 합니다     ,가정의학과,코로나 초기 증상,어제 코로나 확진자랑 밀접접촉을 했는데요 오늘 아침부터 목에 가래가 끼고 침 삼킬 때마다 목이 따끔거리고 심장이 빨리 뛰어요 잠도   시간이나 잤는데 방금까지  시간이나 더 잤어요  몸도 조금 무겁고요 코로나 초기 증상인가요  자가키트 해보긴 했는데 음성 나왔어요,가정의학과
가슴이 답답함,숨을 크게 들이쉬거나 딸꾹질 하거나 웃거나 하면 뼈가 아픈느낌인데 왜이런가요,가정의학과,목 아픔  가래,확진자랑 키스 하고 같은 공간에서도 확진자 나왓는데 저는 자가키트 네 번 했는데 음성 떳어요 그리고 인후통이랑 가래같은 침도 나와요 키트에서 음성 나오면 학교 나와야 한다는데 그냥 가면 되겟죠   ,가정의학과
성대결절 초기 증상인가요 ,매일 코노 한 번 가면   곡 이상 거의 한 달 정도 불렀어요  많이 부를 땐 코노  번도 가고 그랬는데 아무 증상 없다가 갑자기 어제부터 원래 올라가던 음이 목에 걸리면서 안 올라가고  억지로 올리면 내려올 때 쉽게 내려왔던 게 대부분이 공기소리  숨소리  로만 나와요   노래 부르고 가만히 있으면 목이 아주 살짝 엄청 조금 아프긴 한데 코노가 제 대학생활 낙인데  성대결절 초기증상인가요 ,가정의학과,오미크론 확진 후 기운없음 관련 질문입니다   ,  대인 엄마가 코로나 확진 판정을 받았는데  기운없음과 속 메스꺼움이 해결이안됩니다 비대면 진료로 병원에서 약 처방을 받았는데 그걸 먹어도 기운없음과 메스꺼움은 도저히 나아지질 않아요 뭘 어떡해야 할지 모르겠습니다       기운이 없는건 어떻게 해결을 해야하나요  기가 계속 빠지고 온몸에 힘이 빠지고 없대요    기운이없어서 식욕도 없어서 밥도 못먹고 죽만 먹고 있네요   죽도 겨우 먹습니다  다른 증상은 거의 없거나 미미하고 기운없음 메스꺼움 설사 이 세가지가 너무 심하셔요     엄마가 너무 힘들어합니다  기운없음을 해결할 방안이 있을까요   ,가정의학과
음식이 코로 올라와요   ,음식이 코로 올라와요    한 두번이 아니고  밥을 먹을때 마다 그렇습니다    밥을 먹으면  밥풀이 코로 올라와서 심한 재채기를 여러번 하고  코를 여러번 풀어야지 안정이 되요    귀에서 진물이 조금씩 나오는데  연관이 있을까요   ,가정의학과,생활치료센터 입소,만약 집에   대 이상 고위험군인 분과 같이 살고 있는데   살 관리대상x 이 코로나 확진 받으면 생활치료센터로 격리 들어갈 수 있나요   고위험군과 같이 살고 있어서 감염 우려의 이유로요     집이 좁고 환기가 잘 안되기도 하고  화장실이 한개라서요       거주지역은 평택입니다  이러한 이유로 입소 가능한 지 여쭤봐도 괜찮을까요 ,가정의학과
자려고 눈감았는데 숨이 잘 안쉬어지고 가슴 살짝 아픔 답답,자려고 눈을 감았는데 숨이 시원하게 잘 안 쉬어지고 가슴이 살짝 아프고 답답한 느낌이 있어요 못 자겠네요,가정의학과,코로나 잠복기,제가 토요일에 코로나 걸린 친구하고 놀았는데 물론 마스크는 안 벗었어요 그래서 일요일에 자가키트로 검사해보니깐 음성이 나왔습니다 어제는     였고 목만 조금 아팠는데 오늘은   도까지 올라가고 목이 걸걸해지고 아픕니다 그리고 오늘 자가키트 해봤는데 음성 나왔고요 이거 코로나 인가요    ,가정의학과
항히스타민,비염으로 인해 항히스타민을  달정도 복용했는데 입안이 바짝마르네요  부작용같은데 치료법은 어찌되나요  완치 안되나요    너무 힘드네요,가정의학과,갑상선수치요 ,Tsh      t       t       갑상선수치가 이렇게나왔는데  개월전에는 정상범위였는데 갑자기 이럴수 있을까요  채혈때 몸이않좋았고 전날 힘나라고 링겔맞은게 영향이있을수 있을까요 ,가정의학과
발톱 좀 봐주세요 어디 부딪힌 기억은 없고 통증도 없습니다  근데 이게  주일전부터 보이다가 점점 진해지는거같아요   뭘까요  병원은 어디로 가,발톱 좀 봐주세요  어디 부딪힌 기억은 없고 통증도 없습니다  근데 이게  주일전부터 보이다가 점점 진해지는거같아요   뭘까요  병원은 어디로 가야되나요,가정의학과,발가락 까만점  흑색종 ,안녕하세요   주 전 부터 발톱에 작은 까만 점이 보여 어디에 찍힌줄 알고 신경안썼는데  또하나가 발견됐어요  뭐죠 이게     알려주세요 ,가정의학과
종아리가 허벅지만큼 두꺼워서 스트레스,종아리가 허벅지만큼 두꺼워서 스트레스에요    만져보면 살인거 같기도 하고 잘 모르겠네요 아무튼 너무 스트레스 받는데 종아리 어떻게 살을 빼는게 좋을까요 ,가정의학과,오미크론 목아픔 증상만 있을수 있나요 ,주말에 확진자랑 밥을 먹었는데 가만히 있을때 콕콕 찌르는것 처럼 너무 아파서 자가키트  번 했는데 음성 나왔고 병원가서 신속항원검사 했는데 음성 나왔는데 혹시 몰라서 의사 소견서 갖고 PCR검사 하고는 왔는데 낼 결과를 봐야 알겠지만 원래 오미크론이 점점 목이 더 아파지고 귀까지 아파질수 있나요  그리고 잠복기에는 음성이 나오고 몇일뒤 확진되신분도 계신가요 ,가정의학과
자가키트 양성 자국,키트 돌렸는데 엄청 희미하게 육안으론 거의 안보이고 사진으론 좀 더 확실하게 보이는 양성 줄 있는데 원래 키트에 양성 자국이 있나요 ,가정의학과,가습기 틀면 기침,최근 오미크론에 걸렸다가 자가격리 풀린지 일주일쯤 됬습니다 걸린 뒤부터 목구멍과 입안  입술이 너무 건조해서 깨는 일이 너무 빈번해서 작은 가습기를 구매했습니다 세척 후 가동시켜 얼굴 가까히 대고 호흡했더니 기침이 너무 나요  생각해보니 코로나가 터지기 전에도 감기로 인해 병원에 내원했을때 이따금씩 가습기와 흡사한 기계 에서 나오는 수중기 같은걸 코와 입으로 들이마시라고 했었는데 그때도 항상 기침이 나왔어요 무슨 치료인지 명칭을 모르겠어요   이런 증상이 왜 나타나는지   혹시 무슨 병같은건 아닌거죠     호흡기랑 기관지 쪽이 좀 좋지않긴 합니다 천식 유무는 모르겠으나 비염 등을 달고사는 사람이긴 한데   그럼 촉촉한 가습기가 더더욱 좋은거 아닌지    왜 그런건지 궁금합니다,가정의학과
안녕하세요  예방접종 수두 a형 b형 간염  관련 질문드립니다 ,내년 병원 실습으로 인해 예방접종을 해야합니다   수두 a형 b형 예방 접종  당일 날 동시에 맞아도 되나요  궁금합니다 감사합니다 ,가정의학과,금단후증상으로 열이나는게 있나요  금연  일차인데 열이나고 오한이 나네요  시기가 시기인지라 금단후 오는 증상중에 열과오한이 있는지요    혹시,금단후증상으로 열이나는게 있나요  금연  일차인데 열이나고 오한이 나네요  시기가 시기인지라 금단후 오는 증상중에 열과오한이 있는지요    혹시 오미크론 코로나일까 걱정도됩니다만 다른통증은 없고 열과오한만 있어서요  답변부탁드립니다 ,가정의학과
익상견갑  너무 스트레스 받습니다 ,제가 익상견갑이 있는것을 모르고 팔굽혀펴기 턱걸이등 운동을 진행하였는데 몸이 좌측으로 틀어지고 좌측어깨가 더 발달했군요 더군다나 익상견갑이 있다는것을 인지하고 나서는 오른쪽 날개뼈가 너무 불편하게 느껴지기 시작했습니다  이런경우 어떻게 고쳐야 하나요   오른쪽 날개뼈가 너무 거슬리는게 스트레스입니다    ,가정의학과,산소포화도 맥박수,제 아는 지인이 양성인데 산소는 정상으로 나오고   맥박은 어제는   나오다가 갑자기 오늘은    나오면서 깜빡깜빡 거린다는데 괜찮은 건가요   그리고 수영 다닐 때도 원래 심박수가   대 나왔었대요,가정의학과
배꼽 아래 불편감,  세 여자구요 저번달 생리는   일에 했는데 원래 한달주긴데 어제 안해서 좀 불안하고    요즘 갑자기 배꼽 아래쪽에 장기 라고 해야하나 암튼 배꼽 아래 장기가 있을만한 곳에 불편감이 느껴진다고 하면 알아들으시려나요    뭔가 안쪽에 아프진않고 뭔가 불편한 느낌이 들어서요   생리도 안하고 좀 많이 불안하네요 관계 그런건 안해서 임신같은 건 아닌것 같은데   배꼽아래에 무슨 장기가 있죠     왜 이러는 걸까요   도와주세여 병원을 간다면 무슨 병원을 가야하죠  그리고 암 같은 건 아니겠죠    ,가정의학과,이게 무슨 흉터인가요 ,어렸을때 부터 계속 있던 흉인데요 갑자기 궁금해져서요 제 기억으로는    살때부터 있었던 같아요 어깨에 있는 흉입니다,가정의학과
고등학생 살,고등학교 다니는 남자입니다 제가 키가     정도 되는데   키로도 되지 않습니다 좀 건강하게 살 찌는 방법 이런거 아시는 분 좀 알려주세요   너무 스트레스 입니다,가정의학과,가족 코로나 확진,한 집에 같이사는 가족 중 한 명이 코로나 확진되면 그 사람은 어디서 자가격리하나요  화장실이 하나면 어쩔 수 없이 같이 쓰나요    ,가정의학과
과일 그릭요거트 먹었는데 설사,제가 아까 과일이랑 그릭요거트랑 꿀을 먹었는데 그릭요거트랑 꿀은 한 세입밖에 안먹었고 과일은 파인애플 청포도    그람씩 다 먹고 바나나 반개 먹었거든요 근데 배가 아프더니 설사하고 지금은 속이 좀 안좋아요 배도 좀 아프고요 뭐 때문인질 모르겠어요,가정의학과,몽유병인가여  ,제가 다이어트 한다고 막 밥 먹지 말자 이러는 생각에 요즘 차있는데 식욕이 왕성 하다보니깐 자꾸 못 참고 먹으니깐 먹고 나서 스트레스 받고 막 아 진짜 먹지 말자 이러면서 약간 강박    이 있는데 아무튼 그런데 제가 갑자기 자다가 일어 나서  아 배고프다고  아 진짜  이런 말을 해서 가족들이 다 깨고 엄마가 암바한테  아빠가 거실에 계셨는데   얘 밥 먹으러 간대    어   이런 말들을 하셨습니다 근데 제가 그럼 말을 하고 화장실로 갔다는 겁니다   저는 분명 그런 기억이 없는데 동생이 갑자기 동영상 보여주면서 언니 미쳤다고 그러더라구요 저 몽유병인가요 전에는 혼자 누워서 말만 조금 많이 한 그런 상태였어요,가정의학과
  살 심장쪽아픔,안녕하세요   살 학생입니다  오늘 집에가다가 어깨가 뻐근해서 스트레칭을했는데 갑자기 퍼지면서 상체 왼쪽이 마비되어 몸을 못움직이겠고 심장쪽이 아파서 숨도 잘 안쉬어져서 편의점 앞에서   분가량 쉬다가 비틀거리면서 집으로 돌아왔습니다  지금은 좀 좋아졌고 숨 들이마실때 심장쪽만 좀 갑갑하고 아픕니다  내일아침 병원을 가려 하는데 지식인에 검색해보니 다들 응급실을 가야한다며 심근경색 증상이라 하더군요  어떻게하면좋을까요  많이무섭습니다,가정의학과,이 증상 아시는 분 ,자꾸 머리가 아프고 어지럽고 속은 완전 울렁거려서 토할랑 말랑 하고요 너무 춥습니다 며칠전만 해도 고온을 하면 뜨거워서 못 했는데 너무 추워서 고온으로 합니다 하지만 너무나 춥네요 코로나 검사해봤을 때는 음성이 나왔습니다 그냥 폄범한 감기일까요 ,가정의학과
백신 부작용, 차 백신 금요일에 맞았고 토요일에는 열이 많이 나고 어지러워서 밥은 한끼 반 정도 먹고 타이레놀  시간 간격으로 세 개 먹었어요  근대 일요일까지도 계속 어지러워서 일어날 수가 없습니다   어떻게 해야 할까요 ,가정의학과,전자기기에서 삐소리와 웅웅거리는 소리,제가 평소에는 인식을 못했는데 이번에 에어팟  세대를 사면서 오른쪽에서 웅웅거리는 소리가 들리더군요 그래서 에어팟이 이상한가하고 가족이나 친구들에게 이 소리가 들리냐고 물었는데 저만 들리는거 같더라구요 그 후 오른쪽 귀에서만 티비에서 전자파소리  삐소리가 거슬리게 들리고 휴대폰에서도 오른쪽 귀에서만 전자기기 소리같은게 났는데 원인이나 질병이면 병명 같은거 아시면 알려주세요 ,가정의학과
코로나 자가키트 자꾸  줄 떠요, 월  일에 자가키트  줄 떠서 pcr 검사 받았는데 음성 나왔었고 그 후   일에도  줄 떠서 검사 받았는데 음성 나오고   일에도  줄떠서 검사 받았는데 모두 pcr 결과 음성 나왔어요 근데 이번에도 자가키트  줄 나왔는데 PCR 검사 받아야 하나요   아무증상 없어요   ,가정의학과,강남성모병원에 종합검진을 받으려 하는데,비용이 비싸서  진료부터 먼저 받고 소견서를 가지고 종합검진을 받아보려 합니다   그 진료를 내과를 가야되는지 가정의학과를 가야되는지  어떤 진료과목을 통해 진료를 받고 검진해야된다 라는 소견서를 받을 수 있을까요   ,가정의학과
발톱 이상하게 나는거 같은데 어떡하죠,작년   월에 발톱 들리고 오늘 축구하다가 발톱 뜯어져서 봤는데 이상하게 나는거 같아요 발톱 들리고 이중발톱으로 자라고 있었는데 뜯어져서 보니까 또 이중발톱으로 자라는거 같아요,가정의학과,발톱을잘못잘랐더니 이렇게됐는데 뭔가여 ,제가 발톱을자르다가 발톱 옆부분을 다 잘라버렸습니다   그러더니 그 발톱 옆부분이 이렇게 됐는데 병원가야하는수준이가요  아니라면 어떻게 대처하나요 ,가정의학과
가족 양성 학교 안가는법,가족 중에  명이 양성 나왔는데요 전 음성 나오면 학교 갈 수 있는 거잖아요 학교 가기 싫은데 엄마가 아침에 검사받고 가래요 학교 하루라도 빠지게 엄마 설득하는 방법좀,가정의학과,울쎄라 인모드 같이 하면 더 좋을까요 ,인모드 시술을 고민하다고 리프팅 효과가 덜하다고 해서요 울쎄라와 함께 받으면 좋을 것 같아서 문의 드립니다  울쎄라 인모드 보통 몇 삿으로 진행하는지도 알려주세요 ,가정의학과
눈이 어지러워요,밥을 먹거나 폰을 보거나 음식 만들고 앞에 딱 고개를 즐면 눈 초점이라고 해야 하나 눈이 너무 어지러워요 한   초 후에 나아지긴 하는데 이틀 째 그러고 있어요 왜그럴까요           ,가정의학과,남자 코 모공축소 방법 좀   ,  대 남자입니다  얼굴모공도 문제인데 특히 코 모공이 너무 눈에 띄어서 모공축소 방법을 찾고 있습니다  모공축소된다고 코팩을 붙여봤는데 피지만    남자 모공축소시술 알고 계시면 공유 부탁드려요 ,가정의학과
자주걸을때,요즘 걸을때자주 어지럽고 핑도는데 이유가뭔가요 ,가정의학과,식욕억제제 다른종류 같이 복용하지말라하잖아요,이유가 자세히 뭔가요 중추신경에 무리간다 말고 자세한 이유 알수있을까요   평소 엠피온정먹는데 너무 조절안되는날은 디에타민도 같이먹어볼까싶어서요  아니면 작용시간 끝나고 먹는건 되나요 ,가정의학과
