0,1,2,3,4,5,6,7,8,9,10,11
코로나 잠복기 전염 가능성,제가 금요일에 코로나 잠복기였던 친구랑 두 시간 정도 서로 마스크를 안 벗고 같이 있었는데 그 친구가 오늘 저녁에 자가키트를 해 보니까 양성으로 떠서요    저도 감염될 가능성이 있는 걸까요  급해요    답 얼른 주세요,가정의학과,갱년기인가요 ,저희엄마는   세이시고 아직 폐경하시지는 않지만 불규칙한 편입니다 원래는 되게 천사같은 성격이세요 가끔 기분파일때도 있지만요 근데 요즘 이상해요 뭔가 일 잘못되면 제가 생각 못해서 그런거라고 뭐라고 하고    그러다 서로 큰소리나면 갑자기 토라지고 또 갑자기 혼자 풀려요          그리고 술 안마시는데도 얼굴이 빨갛고    영상통화하다가 갑자기  왜 너만 이쁘냐고 그러고    나는 못생겼다 그러고       눈빛이 슬퍼보 여요       이거 갱년기인가요  제가 양보하고 이해해주는게 답인가요 ,가정의학과,기지개를 켜면 명치로부터 오른쪽 갈비뼈 피부 바로 아래가 찢어지듯 아파요 ,얼마 전부터 그러는데요  병원은 어떤 과로 가야 진료가 가능할까요  왜그런지 이유도 모르겠네요  ,가정의학과,손발 쥐남  잇몸부음 질환,제가 요새 손발에 쥐가 자주 나고  한번은 엄지손가락에 쥐가났는데 쥐난듯한 아린 증상이  일 이상 갔어요 그리고 잇몸이 계속 부어있고 전체적으로 컨디션이안좋은데  혹시 어떠한 질환의 전조증상이라든가 그렇지는 않은가요  백신은  차맞은지  주정도 된 상태입니다,가정의학과
소화가 잘 안돼요,요즘따라 소화가 잘 안되고 저녁에 뭘 먹어도 다음날 아침에 학교 등교할때나 오래가면  교시까지 배가 자꾸 아파요 꾸륵 꾸륵 거리구요 제가 밥을 먹고 나도 꾸륵 꾸륵 거리면서 배가 아파요 화장실   가면 설사도 하구요 제가 걸리는 거 있다면 음식을 먹고 눕는다는 거  혹시 이유가 그것 때문인가요  근데 저희 아빠랑 언니도 자주 그러던데 유전인가요  궁금합니다 그리고 배가 안 아플려면 어떻게 해야하나요  아플 때 좀 버티면 괜찮긴한데 너무 고통스러워요 제발 배 안 아픈 법 좀 알려주세요  ,가정의학과,백신 접종,제가 화이자를  차까지 맞았는데  차를 언제 맞았는지 모르겠어요    차는   월   일에 맞았는데 이걸로  차 언제 맞았는지 알수있나요   적어서 내야하는거라   ,가정의학과,글을 읽어주세용  ,안녕하세요 중  여학생 입니다  제가 몇달 전부터 가슴 통증이 있다가 유두 주변이 살짝만 스쳐도 아프고 욱신 욱신 거리거든요   현재는 생리중 입니다 근데 막 어쩔때 한번씩 가슴을 보면 유두 주변 살이 좀 들어가있다고 해야하나    아무튼 어쩔때 한번씩 그러고 유두 밑에 살이 좀 튀어나와 있을때도 있어요  차성징 몽우리 인가요    유두에서 분비물이 나오거나 그런적은 없어요  그리고 겨드랑이 통증도 어쩔때 한번씩 있고 허리를 숙이면 가슴이 아파요 유두도 거칠거칠하고 각질 같은 하얀색 각질   도 조금 있어요  어떤 느낌인지 그림으로 표현 하긴 했는데 이해 안되실수도 있어요    번째 사진이 가슴 유두 주변이 들어간거고 첫번째가 유두 밑에 살이 좀 튀어나와 있는걸 표현 한거에요  ,가정의학과,b형간염 예방접종 질문,어렸을때 b형간염 주사를 맞았던거 같은데 대학 들어가면서 검사해보니 항체가 없대서     년에  차까지 맞았는데 까먹고  차를 안 맞았어요   그리고 결혼전에 산전검사 했더니 항체 없대서     년에 또  차까지 맞았는데 그러고 임신이 되서  차는 또 안 맞았어요   임신 중에 맞아도 된다곤 했지만 그냥 괜히 찝찝해서 출산 후에 맞으려고 했는데 또 까먹었네요   그리고 얼마전에 건강검진 했을때 항원  항체 다 음성 나왔어요   그럼 다시  차부터  번을 또 맞아야하는건가요 ,가정의학과
코로나 오미크론 식혜 맛이 안 나요,제가 오미크론에 걸렸었는데요 음식맛이 다 잘나요 약간 들 나긴 하는데 다 잘 나요 그런데 식혜맛이 하나도 안 나요  직접 만든 식혜라서 상했나 하고 사서 먹었는데도 식혜맛이 안 나요 제가 식혜를 진짜 좋아하는데   다시 돌아올까요  그리고 식혜만 맛이 안 날 수가 있나요  왜 이러죠,가정의학과,코로나 확진자랑 빨대,제 친구꺼 음료수 있길래 빨대를 제가 입대고 모르고 마셨는데 친구의 친구도 그 빨대를 입대고 마셨대요 근데 그 친구가 코로나 확진받았는데 어제 자가키트 했는데 음성 나왔는데 살짝 목 아프고 머리 아파서 열 재봤는데     도 나왔는데 괜찮을까여    기분 탓일까용       아직 하루 밖에 안지나서 잠복기 일 수도 있나욥   ,가정의학과,코로나 후각  미각상실 증상,같은 방에서 생활하는 군대 동기가 양성인 상황이고 저는  일전  차검사는 음성을 받았습니다  음성이라 아닌가 하다가도 그저께 밤에는 열이     도까지 올랐고 가 뒤로 열은 안나지만 인후통  가래는 계속 지속되고 있습니다  어제 저녁식사부터는 냄새가 거의 안나고 맛은 짠맛과 매운맛만 느껴지고 음식 자체의 맛은 잘 안 느껴지는거 같네요   짠맛이 느껴지면 미각상실 증상이 아닌 건가요  지금은  차검사 결과 대기중입니다  ,가정의학과,수액 부작용,인트라푸신 이라는 아미노산 수액을 맞고나서 머리가 아픈데 어떻게 해야 하나요 ,가정의학과
삭센다 사용중 탁센 소염진통제  복용,삭센다 사용한지는 오늘로  일차고 탁센을 한번 복용해도 될지 궁금합니다  또 삭센다를 사용하는 기간중 감기약이나 소화제를 복용해도 괜찮을까요  먹으면 안되는건 뭐가 있을까요 ,가정의학과,오미크론 코로나,집에만 있고 밖에서 마스크 한 번도 안벗었는데 목감기 집에서 걸려서 이비인후과가니깐 신속항원검사 하라고 해서 했더니 양성에다가 PCR했는데 문자도 안보내주고 전화 걸었더니 보냈다는데 안왔는데 이게 무슨 경우죠   결과는 양성이라고 하더군요      집에만 있었는데 오미크론 걸린다는게 가능한건가요  목감기도 PCR하면 양성으로 뜨나요   만약 오미크론이라쳐도 그럼 마스크 효과도 없는데 뭣하러 쓰죠 ,가정의학과,  대 건강검진, 년에 한번씩 검진을 받는데 이번에는 어떤걸 받으면 좋을지 모르겠어요  위   대장은 정기적으로 받고있고 콜레스테롤이 높아서 경동맥이랑 또한가지를 더 받아야 되는데 어떤걸 하면 좋을까요 ,가정의학과,코로나  ,코로나 확진을 받고 자가격리 일주일을 보낸 후에  일정도 지났는데 타인에게 제 타액이 묻는 경우 전염이 될 가능성이 있나요 다시 말해 전염 시킬 확률이 높나요,가정의학과
코로나 확진자가 재택치료중 사용하던 이불이나 침대등을 어떻게 해야 하나요,코로나 확진자가 재택 치료중이어서  개 방에 생활하고 있습니다  문제는 격리가 해제되면 확진자는 면연력이 형성되어 관계는 없겠으나 다른 가족들은  확진자가 사용하던 이불  침대 기타 물건등은 다 버려야 하는 건가요  아니면 일정시간이 지나면 사용해도 되는건가요   가구나 이불들에 뭍어 있는 확진자의 코로나 바이러스는 어떻게 해야 없앨수 있나요 ,가정의학과,섬유낭종성변화,선생님 조직검사결과 섬유낭종성변화이구요  크기는     인데 맘모톰으로제거해야하나요 ,가정의학과,속이 울렁거려요,엊그제부터 속이 좀 울렁거려요 엊그제 공복에 운동을 한뒤 정수를 마셨는데 노란 물이 올라와서 화장실 가서 급하게 뱉었어요 그러고 그 하루는 괜찮았는데 다음날 되서 또 공복에 운동을 하고 정수를 마셨는데 속이 울렁거리는 거에요 점심으로 잔치국수를 먹었는데 먹을때는 괜찮다가 다먹고 나면 속이 막 울렁거리고 음식 생각만해도 진절머리가 나면서 토할것 같아요 저녁으로는 떡볶이를 먹었는데 그때도 먹을땐 괜찮다가 다먹고 나니까 속이 울렁거려서 미칠것 같은거에요    그래서 저녁을  시에 먹고 그뒤로 아무것도 안먹고 씻고 잤는데 자는 내내 속이 울렁거려서 잠을 좀 설쳤어요    왜그러는지좀 알려주세요    특히 아이스크림을 생각하면 더 토할것 같고 울렁거려요    그렇다고 먹으면 토가 나오는것도 아니고 먹으면 또 잘먹는데 다먹고 난 뒤가 너무 힘들어요   ,가정의학과,요즘 식욕이 떨어지고 살이 빠져요,제가 살이 잘 안찌는 스타일이긴한데 먹을건 잘 먹는편이라   kg까진 찌웠거든요 근데 어느순간 식욕이 떨어지더니   kg까지 빠졌어요 살 빠져서 얼굴살도 빠져서 좋긴한데 건강에 이상이 생긴게 아닐까 고민되네요 ,가정의학과
코로나 양성 후 코가 매워요,어제 병원에서 신속항원검사를 받고 양성 판정을 받았습니다 자고 일어나고 다음날 아참에서 일어나니 한쪽 코가 너무 매워요 그리고 맛은 느껴지는데 짠것을 잘 못느끼겠어요 병원에서 신속항원검사를 잘못 받은 걸까요   너무 아파요 매워요 왜이래요,가정의학과,다이어트약 어떻게 끊어야 하나요,작년   월  일 부터 푸링정 펜디메트라진  mg  을 거의 매일 하루에  알씩 복용해서 체중을   키로         감량했습니다  이제  개월이 거의 다 되어서 약을 서서히 끊으려고 하는데 약을 끊을때 갑자기 끊으면 절대 안되고 서서히 줄여나가야 한다고 합니다  그래서 약을 하루에  알    알     알 로 줄여가면서 끊을 생각인데  알    알     알을 각각 몇일정도 먹어가면서 끊어야 할까요 조언부탁드립니다 약은 아직   알 남아있어서 부족하진 않을거깉아요,가정의학과,엄마가 머리 닦아주다가 모르고 제 가슴두 쎄게 닦았어요,성장긴데 일어나자마자라 아프진 않았지만 엄마가 모르는데 말하기 시러요 근데 제 가슴 성장 안크나요  부딪힌적 엄청많고 언제는 친구가 어깨 주먹으로 치려다가 가슴 쎄게 친적도 있는데     사과엄청햇대난 ,가정의학과,어지럽고 두통이 심하게 오고  오한이 있고  근육통도 있고 오래 서 있지를 못하겠고   이런증상들 영양실조 하고 같은 건가요   일정도 늦게 까,어지럽고 두통이 심하게 오고  오한이 있고  근육통도 있고 오래 서 있지를 못하겠고    이런증상들 영양실조 하고 같은 건가요   일정도 늦게 까지 일하고 밥을 거의 못먹었어요   진통제 먹어도 계속 아프네요  ,가정의학과
LDL 콜레스트롤 수치가     나왔어요, 년전부터 계속         수치였는데 두달전에 다른검사중에 LDL   수치였어요  다른과에서 몇일전에 했던 검사결과지를 오늘 봤는데  LDL콜레스톨수치가    이 나왔어요  약을 처방 받아야 되는거죠  제가 심장 내과 오늘 진료 보고 내일도 진료가 있는데 처방해달라고 하면 되나요   고지혈증 약 처방 받아서 먹은적은 없습니다 ,가정의학과,다이어트 약 먹고 발기부전,다이어트약  일 복용중입니다  다이크로짇정  반쪽 대원디아제팜정 mg  아세드린정 틴틴정  스벨트정토프라맥정  mg   반쪽  근데 아침이나 뭐 수시로 발기가되었는대  잘안대는 느낌이 들어서요 다이어트약 때문에 그런건지 궁금해서요 ,가정의학과,코로나 확진되면  ,저희 할머니께서 몸이 엄청 안좋으신 상태예요 몸을 못가누시는 상황인데 병원에 의료진 분 중 한 분이 코로나에 걸려서 할머니도 확진되셨다 하더라구요     몸이 안좋은 저희 할머니는 코로나가 더 치명적이신거겠죠    걱정되고 너무 스트레스받아서 머리가 어질어질하네요,가정의학과,물먹을때마다 속이 울렁거려요  ,집에서 정수기 물을 먹을때마다 속이 울렁거려요  이상하게 토할것같고 그래요 원인이 뭘까요,가정의학과
코로나  차 백신 맞고 당일날 운동했는데 괜찮겠죠 ,오늘   시쯤에  차 백신맞고  시 까지 안아파서 밖에 축구하러 갔거든요 근데 쫌 빡세게 했어요 심장이 쫌 빨리 뛸정도로 했는데 괜찮을까요 의사쌤은  주동안 무리한 운동 하지말라고 했는데요  또 내일 축구 시합이 있어서 해야하는뎅   저 안죽겠죠  ,가정의학과,유학 건강검진 비용,일산 병원에서 하려고 하는데  에이즈  B형간염 C형 간염 흉부엑스레이 디프테리아 파상풍 백일해백신 MMR 장티푸스  이렇게 검사하면 얼마정도 나오나요 ,가정의학과,다리근육 경련이라 해야하나   ,이게 애매한데 그냥 깬지 얼마 안되거나 잘려고 침대에 누우면 약간 허벅지에 가까운 무릎쪽 근육이 심장박동하듯 뛴다 해야하나    아무튼 경련을 일으켜요   뭔가 그냥 근육으 수축이완을 규칙적인 리듬으로 반복하는거 같고 이유없이 시작해서 이유 없이 멈춰요    이게 뭘까요  ,가정의학과,코로나 의심증상에 대해 질문드립니다,이번에 이사하는데 옆방에 있던 형이 코로나 양성이 나와서 괜히 불안해서 질문드립니다   같은방이 아니라 제 물건 옮기는 과정에서 접촉없이 물건만 옮겼고요 옮기는 과정에서 에탄올로 전부 소독 했습니다   현재 증상은 열 없고 감기  기침   가래 없고 왼쪽 귀 바깥쪽이 마스크 때문에 아픈건지 코로나 증상인지 약간 헷깔립니다 ,가정의학과
어지럽고 토할꺼 같은 증상,제가 그런건 아니고 저희 어머니가 건물에서 청소 하시는 일을 하시는데 간혹 일이 많은 날은 어지럽고 머리가 삥삥 돈다면서 토 할꺼 같다고 하셔서 병원을 가보라고 했지만 병원 가봤자 의사가 뭐 알겠냐고 하면서 계속 안가시더라구요 아마 검사비용 때문에 그러시는거 같은데 제 속이 답답해서 죽을꺼 같네요    검사비용이라도 알면 제가 대신 드리면 되는데 하     최근에는 자주 머리가 삥삥 돌면서 어지럽고 토할꺼 같다는 증상이 자주 나타납니다  뭐 영양제나 몸에 좋은거 그런거 없을까요  어디 영양소가 부족해서 저러시는거면 꾸준히 사드리고 싶은데 뭔지 모르겠으니 미치겠습니다     어머니 평소에는 밥을 좀 빨리 드시는 편이고  체형은 비만 입니다  그리고 밥 먹고 피곤하다며 바로 누워서 티비를 보시는 편 이고요  병원을 안가시니 네이버 지식인 이런거에라도 한번 적어봅니다   ,가정의학과,코로나   예방접종완료자 기준,  월 말 즈음에 백신  차 접종만 한 상태에서 코로나 확진되었습니다  그 후 아직  차 미접종 상태고요  현재 가족 중 확진자가 나왔는데 자가격리 해야 하나요  혹은 접종완료자여서 수동감시인가요 ,가정의학과,살 빼야할까요,제가 원래    에   였는데 현재    에   까지 뺐거든요 근데 제가 보니까 만   세로    에   은 과체중이라 나오는데   까지 더 빼려하는데 얼마전에 조금만먹었는데 요요가와서  키로정도 더쪄서 과체중이면 안빼도 되는건지   빼야하는지 모르겠어요,가정의학과,안녕하세요 코로나 입원관련 질문입니다  ,저는 이번주 월요일 검사후 화요일 확진판정받고 현재 임신중이라 병원에 입원했습니다 문제는 상태가 호전 되고 아무리 퇴원을 시켜달라하여도 병원방침상 화요일에만 퇴원할 수 있고 누구도 예외없이 절대 안된다는 말 뿐이네요 저한테만 예외를 둘 순 없다네요 하루에 하는 거라곤  번씩 혈압체온 재는 거 밖에없고 그마저도 늘 정상이예요 문제는 제가 병원에서 밥을  일째 한 입도 대지 못하고 적응이 어려워요 건조하고 시끄러운 음압병실에 다인실에서 입덧토를 맘놓고 못하니 식욕은 점점 더 떨어지고 어지러워요     살려주세요 제발 나가게 해주세요,가정의학과
식욕억제제 디에타민 부작용 도와주세요  ,정확히  일전에 나비약 디에타민 처방받아서 첫날에  알 복용하고   시간째 잠 한숨도 못자고있습니다   이거 응급실이라도 가봐야할까요    두통 환각 환청 증세는 없는데 약간의 어지러움과 몸이 각성된 느낌입니다  이러다가   시간    시간    시간     시간 잠 못자다가 졸도될까 두렵네요  ,가정의학과,코로나 밀접접촉자,저 목요일에 아는 분이랑 밥을 같이 먹었는데 그 분께서 오늘 확진 판정을 받으셨대요 금요일에도 만났었는데 마스크는 안 벗었었고  금요일부터 증상이 있으셨다고 하는데 저는 밀접접촉자가 되는건가요 ,가정의학과,화상 하루후 하얗게 변했습니다,뜨거운 국에 손가락을 데인것같은데 상처가 하앟게 되있네요 심각한건 아니겠죠  처음에만 아팟고 지금은 안아픕니다 ,가정의학과,코로나검사 결과나오기전 가족출장,감기증상으로 오늘 오전 코로나검사했는데 가족이 출장중이라  낼 결과가 나옱텐데 이럴경우는 출장중인 가족은 어떻게해야하나요,가정의학과
HCV 인슐린 바늘 찔림,병원에서 일하면서 치우다가 그만 HCV환자 썼던 인슐린주사기에 찔렸어요 피도 조금 났구요 지금은 시간이 없어서 그런데 금요일쯤에 병원을 갈 예정입니다   혹시 가정의학과를 가야할까요 아님 내과를 가야할까요   일반 작은내과에서는 혈액검사에 HCV Ab 결과가 나올까요  아니면 조금 큰병원을 가야할까요 ,가정의학과,저녁마다 속이 안 좋고 복통 증상,일주일 정도 됐는데요  매일 저녁마다 배가 너무 아프고 구역질 날 정도로 속이 안 좋아요  그럴 때마다 카베진  알 먹고 자면 아침에는 괜찮고요  다시 저녁이 되면 동일 증상이 반복됩니다   내과에 가봐야 할까요  요며칠 일자목 통증이 너무 심해서 정형외과에서 타온 약을 먹긴 했는데 그것 때문에 그런 건 아닌 것 같고요      밤에도 공부해야 하는 학생인데  배가 너무 아파서 일상 생활이 힘드네요  ,가정의학과,안녕하세요 제가 채용검진을 받았는데 콜레스테롤이 높아서 떨어졌습니다  개월 전에는 입사가능했어서 잘못된건줄알고 내과가서 다시검사해보니 총콜레스테,안녕하세요 제가 채용검진을 받았는데 콜레스테롤이 높아서 떨어졌습니다  개월 전에는 입사가능했어서 잘못된건줄알고 내과가서 다시검사해보니 총콜레스테롤이    이래요 제가 그동안 살이많이찌긴했거든요  운동이랑 식단하며 약먹으면 한달안에 괜찮아질수있을까요   ,가정의학과,티눈 굳은살은 뭔가요,혹시 티눈 굳은살이 합쳐진건 뭔가요 그리고 날이갈수록 계속 저 동그라미 안에 먼지같은게 생기는거 같아요 그런건뭔가요  최대한 빨리 답변 부탁드립니다,가정의학과
코로나 음성 질문합니다,  일에 아빠가 확진되시고   일 동거가족인 엄마와 저는 신속항원검사에서  저는 음성  엄마는 양성 판정을 받았습니다  아침에 검사를 받고 나서  시쯤에 갑자기 제가 오한과 동시에 열이     도까지 올라가면서 근육통까지 동반하여  시반쯤 신속항원검사가 가능한 병원에서  신속항원검사를 받으니 똑같이 음성이 나왔습니다     일 아침에도 신속항원검사결과 음성이 나왔는데 음성이 맞는걸까요   ,가정의학과,코로나 증상 미각상실,안녕하세요 일주일 전에 하루 이틀 열이나다가 약을 먹으니 열이 떨어지고  계속 증상이 바뀌다가 오늘 키트 검사로 양성이 나왔습니다      일부터 오늘까지 일주일이 지났는데 틈틈히 병원가서 PCR검사도 하고 집에서도 검사를 했는데 계속 음성이 나오다가 이렇게 양성도 나올 수 있나요   또 어제부터 냄새와 맛이 느껴지지 않습니다   무엇을 먹어도 식감만 다르고 음식의 주요 맛이 느껴지지 않습니다   그나마 느껴지는 건 약간 달다 짜다  음식의 맛이 안 느껴지니 너무 무섭고 음식 맛이 그립습니다   만약 코로나가 완치된다면 미각도 빠르게 돌아올까요  혹은 사례 중에 미각이 돌아오지 않을 경우가 있나요 ,가정의학과,  세 여자입니다 현기증이나고 메스꺼움으로 일어나 걸을수가 없어 누워 있어요 소발이 차고 특히 무릎이래가 차요 한달전에 수영장에서어찔하여 물에,  세 여자입니다 현기증이나고 메스꺼움으로 일어나 걸을수가 없어 누워 있어요 소발이 차고 특히 무릎이래가 차요 한달전에 수영장에서어찔하여 물에 빠진적이 보름사이로 두번 있었어요 원래는 손발이 따뜻했었는데 왜그럴까요 어느병원에 가야 하나요 ,가정의학과,조직검사 아스피린,담주 수요일날 갑상선 종양 조직검사가 잡혀있는줄 알고 일주일전 수요일부터 아스피린 복용 안했는데  일 안하고나서 검사가 금요일 이란걸 알았습니다  그래서 토일월  일 다시복용하고 월요일부터 끊어도 될까요  너무 짧나요  월요일부터 복용하지 말까요    수 목 금 토 일 월 화 수 목 금 검사  x x x o o o x x x x,가정의학과
티눈이 점점 퍼지는것같아요  다 제거해야되나요 ,어렸을때부터 양쪽 발바닥 앞꿈치 중간에 티눈이 있었습니다  티눈도 유전인지  엄마랑 똑같은자리에 생기길래 예전에는 그냥 신기해만하고 넘겼습니다  너무 오래되서 이미 깊은 티눈입니다   근데 그이외에 헬스장을 다니기시작한지  년째인데 헬스를 시작한이후로 티눈이 원래있던곳 말고 그주변으로 앞꿈치 엄지발가락쪽 으로 새로 생기기 시작했는데 점점 많아져서 걱정입니다  그냥 두면 원래 있었던 티눈처럼 깊어지고 두꺼워질까봐 제거하긴 해야될것같은데 병원에서 제거하는것도 한번에 안되고 돈만 많이든다고 들었습니다   병원에서 제거하면 새로생긴 티눈들은 대략얼마정도 나올지  번거롭겠지만 집에서 약바르는게 나을까요  원래 이렇게 티눈이 잘생기는 체질인걸까요 ,가정의학과,코로나 증상,제가 지금 목이 아플랑 말랑하는 상태이고 후각은 원래의   퍼센트만 맡아지고 미각은   퍼센트만 느껴져요 코막힘은 없고 그냥 평소보다 후각과 미각이 조금 저하된 느낌이구요 자가진단키트는 음성이 나왔습니다 콧물은 조금 나옵니다 혹시 지금 이 계절에 유행하는 감기나 그런걸까여 아니면 코로나 인거같나요 ,가정의학과,코로나인지 궁금해요,저번주 월요일에 아침주터 몸에 열이 나서 자가키트 사서 검사했는데 음성이였고 약 먹으니   분만에 괜찮아졌어요 그런데 저녁에 잠깐 낮잠 자고 일어났더니 또 열이 났습니다 검사했는 음성  혹시 몰라 화요일에 병원 가서 검사했는데 또 음성이였어요 감기 몸살 약  일치 받아서 먹고 괜찮다가 토요일에 또 열이 나더군요   도였습니다 집에서 또 검사했는데 음성이였어요  이렇게 반복적으로 열만 나고 알레르기성 비염 때문에 가끔 재채기랑 콧물 나고 머리가 약간 아픈 거 외에는 없어요 발열두통 약 먹고 한 숨 자면 나아지다가 일교차 좀 심한 곳 갔다오면 또 발열하더라구요 목 아팠던 적  기침이 나왔던 적은 없고요  종종 자가검사키트로 했는데 음성만 떠요     코로나 맞을까요    아님 그냥 다이어트로 인한 면역력 떨어져서 안 떨어지는걸까여  ,가정의학과,하드코프 기침가래약 먹고 알파 아세트아미노펜 먹어도 되나요 ,목이 칼칼해서  시   분쯤에 하드코프 기침감기약 먹었는데 열은 없는데 머리가 아파서 그날엔이나 알파 아세트아미노펜  차 접종 후 아플까봐 사논 거  있는데 먹어도 괜찮나요  ,가정의학과
TBPE검사,간호조무사 시험을 보고 나서 가채점후 합격이길래 건강검진을 받아야한다해서 동네 종합병원을 가려고 하는데요 제가 지금 방광염때문이 처방약을 먹고있어요 검사할때 소변검사한다고 무슨 약 먹으면 안된다고 하던데 제가 먹고있는약은 문제가 없을까요 ,가정의학과,코로나 확진 후 기침,제가 코로나   확진이 되었는데요    열이나 오한같은 코로나 증상들은 싹 다 나았는데 기침만 점점 심해지고 있어요    코는 원래 비염이 있어서 막힘이 더 심해졌고요    이제  일뒤면 자가격리 해제인데 그때까지 기침이 계속 되면 어떡하나요   일차랑  일차에는 약을 먹으면 기침도 전혀 안 났는데 이제는 약도 아침 점심 저녁으로 먹고 있는데 더 심해지기만 해요     일째 먹고 있습니다  이러면 자가격리가 풀려도 밖에 나갈수 없나요  기침 멈추는 방법같은 거 없을까요 ,가정의학과,아침 및 저녁소변 거품,아침에 일어나 소변볼때 좀 색이 진하고 거품이 많이 발생하네요    복부비만대사증후군  이것도 한가지 증상이 있다고 하고    당뇨검사나 소변검사를 하려면 어느과로 가서 진료를 받아야 하는지 알고싶습니다,가정의학과,미열이 지속됩니다  ,  살이고 화이자  차까지 맞았고  차는 아직 맞을 때가 아닙니다   어제 저녁부터 열이 내렸다 올랐다          까지 왔다갔다 해요   무서워서 오늘 오전에 코로나 신속항원검사 받았고 음성이 나왔는데 신속항원검사는 정확도가 많이 떨어진다고 들어서요   그렇다고 고위험군이나 밀접접촉자도 아니여서 PCR도 받을 수 없고     집에 할머니도 계셔서 걱정 돼요    인후통이나 다른 코로나 의심 증상은 하나도 없어요 그냥 미열이 계속나서 머리가 아프네요  어떻게하고 있는 것이 맞는걸까요,가정의학과
항생제 먹으면 코로나 항체 안생기나요,제가 목감기인줄 알고 병원갔다가 항생제 처방받아서  일동안 먹다가  갑자기 확진됬는데요   항생제 먹으면 코로나 항체가 안생긴다는 썰이 있던데  진짜 안생길까요    일동안 먹었는데  그럼 나중에 코로나 낫고도 이후에 또 걸릴수도 있나요   ,가정의학과,코로나 양성판정자가 같은 근무지에 출근을합니다 ,회사에 양성자가 나와서 단체로 신속항원검사를 했는데 한명이 양성이 나왔는데 음성나왔다고 거짖말하고 pcr검사를 받지않고  회사에 출근중입니다  이사실을 몇명은 알고있지만 상사라 말도못하고 있습니다  어떻게 해야올은건지요 ,가정의학과,경동맥 초음파,건강 검진 했는데 경동맥 초음파가 이렇게 나왔네요 많이 나쁜가요 ,가정의학과,발톱 무좀인가요 ,발톱이 저렇게 됬는데 무좀인가요   발톱 통증이 있어요 전문가님들 알려주세용,가정의학과
코로나검사음성,오늘 인후통 열    도 있어는데 의심증상있어서 했더니 음성인데 안심할수있나요  병원가서pcr  시간소요 되나요  보건소로 가야하나요 ,가정의학과,조현병은 스스로 자각 못 하죠 ,제가 했던 생각들이 다 망상이었음을 들었던 소리가 실존하지 않았음을 알게 됐는데 조현병 증상과 맞아 보여서 걱정했어요 하지만 저 문장도 똑바로 제대로 구사하고 있고 만약 조현병자라면 스스로가 자각하지 못 하겠죠  제가 이런 생각이 든다는 것 자체가 조현병이 아니라는 증거겠지요 ,가정의학과,코로나 완치기간 등,혹시 코로나에 걸리고 완치후 코로나 걸렸을때 썼던 치약 이불 그릇 수건 등을 쓰거나 반찬들을 먹거나 하면 다시 재감염되나요   또 완치가 됬는데 같이 사는 가족이 코로나에 걸려서 가족들이 먹었던 반찬을 따로 먹거나 다 같은 화장실을 쓸수밖에 없으면 양치할때는 마스크를 벗어야 할텐데 바로 재감염이 될까요   코로나가 거의 나아갈때쯤 확진자와 같은 공간을 다른시간대에 마스크를 벗고 사용할수밖에 없게되면 증상이 다시 심해지나요   코로나 거의 나았을때 코로나 걸리지 않은 사람이 코로나 걸린사람이 마스크 벗고 잠깐 사용했던 공간을 마스크 안쓰고 잠깐 사용해도 코로나에 걸리나요 ,가정의학과,선생님 아까발톱 흑색종 문의했던 사람입니다,흑색종일 가능성이 높은걸까요    조직검사도 엄청 힘들고 아프다 들었는데요 일도 못하는걸까요    ,가정의학과
뒷구리살빼는법 좀 알려주세요,살이 많이 쪄서 도저히 안될거 같아서 살 뺄려고 하는데 뒷구리살이 겁나 안빠지네요  자꾸 팬티가 접히는데    뒷구리살빼는법으로 시술 고민중인데 시술 받으면 확실히 효과가 있긴 할까요 ,가정의학과,미열이 지속됩니다   , 주째 계속          의 미열이 나고 있습니다  코로나인가 싶어 병원에 가 검사도 받아봤는데 코로나는 아니였습니다  열 말고는 다른 증상도 없고 목도 안아프고 콧물도 안납니다  병원에서는 좀 지나면 괜찮아질거라 했는데 나아지지는 않고 계속 종합 감기약을 먹었는데도 열이 내리지 않습니다  병원에서 따로 약을 주지않아 약국에서 사와 먹었습니다 어떡할까요 ,가정의학과,코로나 잠복기,제 친구가 확진자랑 저번주 토요일 일요일 접촉했고 목요일부터 증상이 시작됐습니다  저는 그 친구와 쭉 같이 있었고 월요일 부터 수요일까지 밥을 같이 먹었고 목요일 금요일은 거리두기를 했습니다  친구는 자가진단키트로 토요일에 검사를 했더니 양성이 나왔습니다  저는 음성이 나왔고 일요일에 pcr검사를 한 결과 그친구는 양성 저는 음성이 나왔습니다  Pcr결과 음성이면 음성인걸까요  잠복기에는 음성으로 나올 수 있다고 하여 질문합니다   만약 잠복기라면 저는 그친구와 계속 같이 있었으니까  일이 지나 완전한 음성인건가요  아니면 그친구 증상 발현일로부터  일을 지켜봐야하나요  증상은 없습니다,가정의학과,발열 오한 호흡곤란 복통,오늘 하루내내 컨디션 최악이었구요 발열             심한 오한  호흡하기 조금힘듬  배가 아픔  설사할것처럼 증상은 이게 다에요 인후통 근육통 미각상실 이런건 없어요 콧물도 없는데 계속 코가 막힌 느낌이구요 이정도면 증상의심 해볼만하죠    근데 배는 왜아프죠  복통도 증상에 있던가요  아님 마침 설사까지 오는건가  ,가정의학과
